unbounded_fraction,alpha,exponent,coalition_size,kappa,truthful_share,capture_ratio,capture_ratio_formula,budget_captured,budget_captured_solo_sum,superadditive,outsider_loss,welfare_loss
0.0,0.25,3.0,15,1.5,0.9034862748745113,1.0731400251200942,1.0731400251200942,0.06571792507492263,1.731548892423784,False,0.6820325851496016,0.008935365203304594
0.0,0.25,3.0,16,1.5,1.0,1.0,1.0,6.938893903907228e-18,1.8980978730084226,False,0.0,-6.245004513516506e-17
0.0,0.5,1.0,1,1.5,0.05229943270489786,1.4617832679194185,1.4617832679194185,0.024134031456264943,0.024134031456264943,False,0.025477821387054306,0.002438032273069636
0.0,0.5,1.0,2,1.5,0.10557693597760087,1.42481706372912,1.42481706372912,0.044788936564159165,0.04868383709570758,False,0.05012195751392001,0.004524601412647197
0.0,0.5,1.0,3,1.5,0.1607599786632549,1.38845367602831,1.38845367602831,0.0623326692801251,0.07404206706355564,False,0.07436421598112668,0.006296878316700383
0.0,0.5,1.0,4,1.5,0.21782198361943386,1.352755797181632,1.352755797181632,0.07666642201730223,0.10018932748536964,False,0.09816280187891206,0.007744881391974663
0.0,0.5,1.0,5,1.5,0.27588562844326736,1.318267252964854,1.318267252964854,0.08757986562702458,0.12675682184080403,False,0.12115516469009734,0.008847363079671404
0.0,0.5,1.0,6,1.5,0.33515093255684497,1.2848299043742843,1.2848299043742843,0.09518925869458623,0.1538255420861039,False,0.14344673041714373,0.009616067881884292
0.0,0.5,1.0,7,1.5,0.3950421954331131,1.2527185766361957,1.2527185766361957,0.09952065129449561,0.1811549633211361,False,0.16485428224253626,0.01005362739054117
0.0,0.5,1.0,8,1.5,0.45582929757770535,1.221721923556579,1.221721923556579,0.10072685530913679,0.20885650790431423,False,0.18551871762894737,0.010175478740612165
0.0,0.5,1.0,9,1.5,0.5176773187783192,1.191716652282189,1.191716652282189,0.09888937665730298,0.2369960304792884,False,0.2055222318118741,0.00998985570194306
0.0,0.5,1.0,10,1.5,0.5816855578996182,1.1621528241275147,1.1621528241275147,0.0940087938453521,0.2660210091256703,False,0.22523145058165675,0.009496816715543775
0.0,0.5,1.0,11,1.5,0.647200640393978,1.1333683963478665,1.1333683963478665,0.08606256691028924,0.29565746707836954,False,0.2444210691014224,0.008694084782757246
0.0,0.5,1.0,12,1.5,0.714994127866326,1.105039680681336,1.105039680681336,0.07492651077100164,0.3262102654642894,False,0.26330687954577586,0.007569114662804491
0.0,0.5,1.0,13,1.5,0.7845310368986714,1.077418287967105,1.077418287967105,0.060632387167118496,0.3574585802770742,False,0.2817211413552633,0.006125114942962177
0.0,0.5,1.0,14,1.5,0.8550272529973272,1.0507968294430214,1.0507968294430212,0.04337908811662989,0.38909075407017363,False,0.299468780371319,0.0043821777972042715
0.0,0.5,1.0,15,1.5,0.9270589247716948,1.024924270367417,1.0249242703674168,0.023092534493471328,0.4213275488628625,False,0.3167171530883887,0.002332819714107109
0.0,0.5,1.0,16,1.5,1.0,1.0,1.0,-9.25185853854297e-18,0.4539217750474009,False,0.0,-4.163336342344337e-17
0.0,1.0,0.0,1,1.5,0.0625,1.0,1.0,0.0,0.0,False,0.0,0.0
0.0,1.0,0.0,2,1.5,0.125,1.0,1.0,0.0,0.0,False,0.0,0.0
0.0,1.0,0.0,3,1.5,0.1875,1.0,1.0,0.0,0.0,False,0.0,0.0
0.0,1.0,0.0,4,1.5,0.25,1.0,1.0,0.0,0.0,False,0.0,0.0
0.0,1.0,0.0,5,1.5,0.3125,1.0,1.0,0.0,0.0,False,0.0,0.0
0.0,1.0,0.0,6,1.5,0.375,1.0,1.0,0.0,0.0,False,0.0,0.0
0.0,1.0,0.0,7,1.5,0.4375,1.0,1.0,0.0,0.0,False,0.0,0.0
0.0,1.0,0.0,8,1.5,0.5,1.0,1.0,0.0,0.0,False,0.0,0.0
0.0,1.0,0.0,9,1.5,0.5625,1.0,1.0,0.0,0.0,False,0.0,0.0
0.0,1.0,0.0,10,1.5,0.625,1.0,1.0,0.0,0.0,False,0.0,0.0
0.0,1.0,0.0,11,1.5,0.6875,1.0,1.0,0.0,0.0,False,0.0,0.0
0.0,1.0,0.0,12,1.5,0.75,1.0,1.0,0.0,0.0,False,0.0,0.0
0.0,1.0,0.0,13,1.5,0.8125,1.0,1.0,0.0,0.0,False,0.0,0.0
0.0,1.0,0.0,14,1.5,0.875,1.0,1.0,0.0,0.0,False,0.0,0.0
0.0,1.0,0.0,15,1.5,0.9375,1.0,1.0,0.0,0.0,False,0.0,0.0
0.0,1.0,0.0,16,1.5,1.0,1.0,1.0,0.0,0.0,False,0.0,0.0
0.0,2.0,-0.5,1,1.5,0.057710618476964855,1.2090635731355066,1.2090635731355066,0.012063157266997632,0.012063157266997632,False,0.012803726410599221,0.002237375060365509
0.0,2.0,-0.5,2,1.5,0.11576397854925351,1.1936898893990822,1.1936898893990822,0.02241484528872255,0.024192845742526697,False,0.025356286617654055,0.004202642485127317
0.0,2.0,-0.5,3,1.5,0.17440243901840016,1.1785534205605868,1.178553420560587,0.0311259476584175,0.0364360499469031,False,0.03771516167160447,0.0059008361128511195
0.0,2.0,-0.5,4,1.5,0.23344441852110998,1.1636961678384965,1.1636961678384965,0.03819116174858645,0.04875711964997892,False,0.04984605772117042,0.00732224272962147
0.0,2.0,-0.5,5,1.5,0.2932055817992107,1.1490346289884492,1.1490346289884492,0.04366636519718767,0.0612171345243899,False,0.061817154063372924,0.008468995265770775
0.0,2.0,-0.5,6,1.5,0.3539531807424116,1.134504416299599,1.134504416299599,0.04757079857348449,0.07386727038576207,False,0.07368102304397196,0.009336149230206004
0.0,2.0,-0.5,7,1.5,0.41539202281531845,1.120177512934018,1.120177512934018,0.04987936607157614,0.08665022032722224,False,0.0853788906572508,0.009908552971005466
0.0,2.0,-0.5,8,1.5,0.4778900348780272,1.105968712306745,1.1059687123067448,0.05060326665716993,0.09963599548885815,False,0.09698032778850295,0.010178532883879593
0.0,2.0,-0.5,9,1.5,0.5409383587289599,1.0919952494395389,1.0919952494395389,0.04972972250503263,0.11272676049079093,False,0.10838961244329733,0.010131140873043424
