system,weights,ky,kx,radius,extracted_magnitude,extracted_freq,label,exact_magnitude,exact_freq,magnitude_error,freq_error
rotating,shuffled,-5,1,5.0990195135927845,0.007438496620195556,0.49998377891081786,damped,0.9046219388421827,0.023873241463784306,-0.8971834422219871,0.4761105374470336
rotating,shuffled,-5,2,5.385164807134504,0.007439865353702192,0.4999762705098502,damped,0.8942194068777493,0.023873241463784306,-0.886779541524047,0.47610302904606594
rotating,shuffled,-5,3,5.830951894845301,0.007438641138900765,0.49995853847834726,damped,0.8771470002880658,0.0238732414637843,-0.869708359149165,0.476085297014563
rotating,shuffled,-4,0,4.0,0.007389261803680855,0.49952228502298923,damped,0.9401789706739411,0.0238732414637843,-0.9327897088702602,0.47564904355920495
rotating,shuffled,-4,1,4.123105625617661,0.0074784888572301846,0.4991064666519779,damped,0.9365612634996526,0.023873241463784296,-0.9290827746424224,0.4752332251881936
rotating,shuffled,-4,2,4.47213595499958,0.007604147816507293,0.4987760754685094,damped,0.9257914512036179,0.023873241463784306,-0.9181873033871106,0.4749028340047251
rotating,shuffled,-4,3,5.0,0.007385202593778229,0.49725237688848395,damped,0.9081162722143948,0.0238732414637843,-0.9007310696206166,0.47337913542469967
rotating,shuffled,-4,4,5.656854249492381,0.00752590967298194,0.4991090719731326,damped,0.8839364968975113,0.023873241463784306,-0.8764105872245294,0.47523583050934826
rotating,shuffled,-3,0,3.0,0.00749468749063924,0.499657745668795,damped,0.9658972392920434,0.023873241463784306,-0.9584025518014042,0.4757845042050107
rotating,shuffled,-3,1,3.1622776601683795,0.00747749007689435,0.49976040535289956,damped,0.9621805709967428,0.023873241463784306,-0.9547030809198485,0.47588716388911523
rotating,shuffled,-3,2,3.605551275463989,0.007595650748553374,0.49947808063628474,damped,0.9511161542325851,0.0238732414637843,-0.9435205034840317,0.47560483917250046
rotating,shuffled,-3,3,4.242640687119285,0.007378319034479517,0.49851986566871137,damped,0.9329574768719912,0.0238732414637843,-0.9255791578375117,0.4746466242049271
rotating,shuffled,-3,4,5.0,0.007489931359226563,0.4994844571269992,damped,0.9081162722143948,0.0238732414637843,-0.9006263408551682,0.4756112156632149
rotating,shuffled,-3,5,5.830951894845301,0.007393702519618814,0.49891816605751854,damped,0.8771470002880658,0.0238732414637843,-0.869753297768447,0.47504492459373426
rotating,shuffled,-2,0,2.0,0.007379338842587774,0.4997741474547075,damped,0.9846970418195912,0.023873241463784306,-0.9773177029770034,0.47590090599092316
rotating,shuffled,-2,1,2.23606797749979,0.007467664588338691,0.4997449127056861,damped,0.9809080339138542,0.0238732414637843,-0.9734403693255155,0.47587167124190183
rotating,shuffled,-2,2,2.8284271247461903,0.007527304742082595,0.49820449722390175,damped,0.9696282641682539,0.0238732414637843,-0.9621009594261712,0.4743312557601175
rotating,shuffled,-2,3,3.605551275463989,0.007416101704927966,0.49914341029008813,damped,0.9511161542325851,0.0238732414637843,-0.9437000525276571,0.47527016882630385
rotating,shuffled,-2,4,4.47213595499958,0.007502258646530775,0.4998498936482384,damped,0.9257914512036179,0.023873241463784306,-0.9182891925570872,0.47597665218445406
