held_out,signal,members,epochs,seed,deferral_rate,threshold_T,retained_vrmse,reference_vrmse,n_kept,n_deferred,n_unsafe,sensitivity,specificity
bubbles,oracle,4,30,0,0.0,inf,0.0895790383219719,0.04600192978978157,118,0,63,0.0,1.0
bubbles,oracle,4,30,0,0.05084745762711865,0.003489455522503703,0.08458636701107025,0.04600192978978157,112,6,63,0.09523809523809523,1.0
bubbles,oracle,4,30,0,0.1016949152542373,0.003127522231079638,0.08174241334199905,0.04600192978978157,106,12,63,0.19047619047619047,1.0
bubbles,oracle,4,30,0,0.15254237288135594,0.00289207809837535,0.07884908467531204,0.04600192978978157,100,18,63,0.2857142857142857,1.0
bubbles,oracle,4,30,0,0.2033898305084746,0.002677176566794515,0.07592471688985825,0.04600192978978157,94,24,63,0.38095238095238093,1.0
bubbles,oracle,4,30,0,0.2542372881355932,0.0024678452755324543,0.07294352352619171,0.04600192978978157,88,30,63,0.47619047619047616,1.0
bubbles,oracle,4,30,0,0.2966101694915254,0.002299355575814843,0.07041604071855545,0.04600192978978157,83,35,63,0.5555555555555556,1.0
bubbles,oracle,4,30,0,0.3474576271186441,0.0021007724222727115,0.06725692003965378,0.04600192978978157,77,41,63,0.6507936507936508,1.0
bubbles,oracle,4,30,0,0.3983050847457627,0.0019327404908835888,0.0639306828379631,0.04600192978978157,71,47,63,0.746031746031746,1.0
bubbles,oracle,4,30,0,0.4491525423728814,0.001786277466453612,0.0603460855782032,0.04600192978978157,65,53,63,0.8412698412698413,1.0
bubbles,oracle,4,30,0,0.5,0.0016546978149563074,0.056345343589782715,0.04600192978978157,59,59,63,0.9365079365079365,1.0
bubbles,oracle,4,30,0,0.5508474576271186,0.0008325497125042599,0.0533333383500576,0.04600192978978157,53,65,63,1.0,0.9636363636363636
bubbles,oracle,4,30,0,0.6016949152542372,0.0007687829085625707,0.052225492894649506,0.04600192978978157,47,71,63,1.0,0.8545454545454545
bubbles,oracle,4,30,0,0.652542372881356,0.0007090509141562506,0.05111122131347656,0.04600192978978157,41,77,63,1.0,0.7454545454545455
bubbles,oracle,4,30,0,0.7033898305084746,0.0006567679811269045,0.050040703266859055,0.04600192978978157,35,83,63,1.0,0.6363636363636364
bubbles,oracle,4,30,0,0.7457627118644068,0.000609747992712073,0.049168601632118225,0.04600192978978157,30,88,63,1.0,0.5454545454545454
bubbles,oracle,4,30,0,0.7966101694915254,0.0005630017840303481,0.04815972223877907,0.04600192978978157,24,94,63,1.0,0.43636363636363634
bubbles,random,4,30,0,0.0,inf,0.0895790383219719,0.04600192978978157,118,0,63,0.0,1.0
bubbles,random,4,30,0,0.05084745762711865,0.9588175811580159,0.08940677344799042,0.04600192978978157,112,6,63,0.06349206349206349,0.9636363636363636
bubbles,random,4,30,0,0.1016949152542373,0.9326548354162396,0.08878230303525925,0.04600192978978157,106,12,63,0.12698412698412698,0.9272727272727272
bubbles,random,4,30,0,0.15254237288135594,0.9176041394053083,0.08783815056085587,0.04600192978978157,100,18,63,0.2222222222222222,0.9272727272727272
bubbles,random,4,30,0,0.2033898305084746,0.8634556230873001,0.08869733661413193,0.04600192978978157,94,24,63,0.25396825396825395,0.8545454545454545
bubbles,random,4,30,0,0.2542372881355932,0.8104228240797813,0.08995514363050461,0.04600192978978157,88,30,63,0.2698412698412698,0.7636363636363637
bubbles,random,4,30,0,0.2966101694915254,0.7579510023564281,0.09036578238010406,0.04600192978978157,83,35,63,0.31746031746031744,0.7272727272727273
bubbles,random,4,30,0,0.3474576271186441,0.721864679038193,0.09010086953639984,0.04600192978978157,77,41,63,0.38095238095238093,0.6909090909090909
bubbles,random,4,30,0,0.3983050847457627,0.6708985073461762,0.09042421728372574,0.04600192978978157,71,47,63,0.42857142857142855,0.6363636363636364
bubbles,random,4,30,0,0.4491525423728814,0.6212542444501105,0.09089098870754242,0.04600192978978157,65,53,63,0.4603174603174603,0.5636363636363636
bubbles,random,4,30,0,0.5,0.5759311083583059,0.09083773195743561,0.04600192978978157,59,59,63,0.5079365079365079,0.509090909090909
bubbles,random,4,30,0,0.5508474576271186,0.520945862750949,0.09241672605276108,0.04600192978978157,53,65,63,0.5396825396825397,0.43636363636363634
bubbles,random,4,30,0,0.6016949152542372,0.45810398477713415,0.09133634716272354,0.04600192978978157,47,71,63,0.6190476190476191,0.41818181818181815
bubbles,random,4,30,0,0.652542372881356,0.41415064887896363,0.0906539112329483,0.04600192978978157,41,77,63,0.6825396825396826,0.38181818181818183
bubbles,random,4,30,0,0.7033898305084746,0.35779519670907023,0.08935722708702087,0.04600192978978157,35,83,63,0.7142857142857143,0.3090909090909091
bubbles,random,4,30,0,0.7457627118644068,0.29895007224853815,0.09424223750829697,0.04600192978978157,30,88,63,0.7142857142857143,0.21818181818181817
bubbles,random,4,30,0,0.7966101694915254,0.22855143971752678,0.09489445388317108,0.04600192978978157,24,94,63,0.7777777777777778,0.18181818181818182
